t,V
0,11.2651
0.972,11.2565
1.91,11.2495
2.85,11.2438
3.823,11.2388
4.82,11.2284
5.819,11.22
6.819,11.2114
7.82,11.2032
8.82,11.195
9.82,11.179
10.82,11.1747
11.82,11.1681
12.819,11.1592
13.819,11.1505
14.82,11.142
15.82,11.1327
16.819,11.1229
17.819,11.1136
18.82,11.1046
19.82,11.0952
20.82,11.0861
21.819,11.0773
22.82,11.0696
23.82,11.0594
24.819,11.0496
25.82,11.0399
26.82,11.0311
27.819,11.021
28.819,11.0127
29.82,11.0028
30.82,10.9939
31.819,10.9846
32.819,10.9752
33.82,10.9656
34.819,10.9577
35.82,10.9493
36.82,10.9396
37.819,10.9314
38.819,10.9225
39.82,10.9136
40.819,10.9053
41.819,10.8955
42.819,10.888
43.82,10.879
44.819,10.8691
45.82,10.8593
46.819,10.8505
47.819,10.8421
48.82,10.8323
49.819,10.8237
50.82,10.8148
51.82,10.8057
52.819,10.7965
53.819,10.7873
54.82,10.7776
55.82,10.7681
56.819,10.7593
57.82,10.7505
58.819,10.7414
59.819,10.7328
60.82,10.7236
61.819,10.7143
62.82,10.7046
63.82,10.6962
64.819,10.6881
65.819,10.6782
66.82,10.67
67.82,10.6617
68.819,10.6517
69.819,10.6429
70.82,10.6337
71.819,10.6243
72.819,10.6167
73.819,10.6088
74.819,10.6
75.818,10.5916
76.818,10.5834
77.819,10.5742
78.818,10.5656
79.818,10.5571
80.819,10.5492
81.818,10.5406
82.818,10.5307
83.819,10.5228
84.818,10.5123
85.819,10.5035
86.818,10.4945
87.819,10.4858
88.818,10.4779
89.818,10.4696
90.818,10.4609
91.818,10.452
92.818,10.4435
93.819,10.4351
94.819,10.427
95.818,10.4187
96.819,10.4101
97.818,10.4014
98.818,10.3941
99.818,10.3862
100.818,10.3777
101.819,10.3693
102.819,10.3597
103.818,10.352
104.819,10.3432
105.818,10.3348
106.819,10.3252
107.818,10.3181
108.819,10.3089
109.818,10.3007
110.818,10.2929
111.819,10.2836
112.818,10.2755
113.818,10.267
114.819,10.258
115.818,10.2499
116.818,10.2411
117.819,10.2325
118.818,10.2258
119.819,10.2179
120.819,10.209
121.818,10.2012
122.819,10.1928
123.818,10.1854
124.819,10.1771
125.818,10.1705
126.818,10.1613
127.819,10.1534
128.818,10.1458
129.819,10.1373
130.819,10.13
131.818,10.1221
132.819,10.1144
133.818,10.106
134.819,10.0982
135.818,10.0896
136.819,10.0825
137.818,10.0741
138.818,10.0656
139.819,10.0569
